Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
27,Ronald Araújo,URU,DF,Barcelona,26,8,4,523,5.8,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,0,10,0,0.17,0.00,0.17,0.17,0.17,0.09,0.00,0.09,0.09,0.09
28,Tomás Araújo,POR,DF,Benfica,23,11,11,924,10.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
29,Hákon Arnar Haraldsson,ISL,"FW,MF",Lille,22,6,3,306,3.4,2,0,2,2,0,0,0,0,0.9,0.9,0.7,1.5,10,17,24,0.59,0.00,0.59,0.59,0.59,0.25,0.19,0.45,0.25,0.45
30,Marko Arnautović,AUT,FW,Inter,36,7,2,206,2.3,1,0,1,1,0,1,2,0,1.8,1.0,0.2,1.3,1,6,15,0.44,0.00,0.44,0.44,0.44,0.79,0.10,0.90,0.45,0.55
31,Arthur,BRA,"DF,MF",Leverkusen,22,5,1,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,1,2,9,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13
32,Raúl Asencio,ESP,DF,Real Madrid,22,10,8,749,8.3,0,1,1,0,0,0,2,0,0.1,0.1,0.1,0.2,3,7,2,0.00,0.12,0.12,0.00,0.12,0.01,0.01,0.02,0.01,0.02
33,Marco Asensio,ESP,MF,Aston Villa,29,4,0,129,1.4,3,0,3,2,1,1,0,0,3.0,2.2,0.1,2.3,3,5,4,2.09,0.00,2.09,1.40,1.40,2.08,0.05,2.13,1.53,1.58
34,Marco Asensio,ESP,FW,Paris S-G,29,4,2,135,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,2,7,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17
35,Kristjan Asllani,ALB,MF,Inter,23,7,3,336,3.7,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,1,19,3,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
36,Yaser Asprilla,COL,"MF,FW",Girona,21,6,2,245,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,15,18,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.09,0.01,0.09
37,Zachary Athekame,SUI,DF,Young Boys,20,8,5,494,5.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,16,20,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
38,Carlos Augusto,BRA,DF,Inter,26,12,6,635,7.1,0,2,2,0,0,0,2,0,0.7,0.7,0.4,1.1,14,8,37,0.00,0.28,0.28,0.00,0.28,0.11,0.06,0.17,0.11,0.17
39,Yann Aurel Bisseck,GER,DF,Inter,24,12,7,693,7.7,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,9,17,15,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09
40,Fredrik Aursnes,NOR,MF,Benfica,29,12,11,989,11.0,0,1,1,0,0,0,2,0,1.3,1.3,1.1,2.4,24,47,36,0.00,0.09,0.09,0.00,0.09,0.12,0.10,0.22,0.12,0.22
41,Irakli Azarov,GEO,DF,Shakhtar,23,2,2,162,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,7,7,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08
42,Ayman Azhil,MAR,MF,Dortmund,24,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Adam Aznou,MAR,DF,Bayern Munich,18,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,César Azpilicueta,ESP,DF,Atlético Madrid,35,2,1,113,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
45,Isaac Babadi,NED,"MF,FW",PSV Eindhoven,20,4,1,105,1.2,0,1,1,0,0,0,2,0,0.3,0.3,0.4,0.7,5,6,5,0.00,0.86,0.86,0.00,0.86,0.27,0.37,0.64,0.27,0.64
46,Alexander Bah,DEN,DF,Benfica,27,7,6,498,5.5,1,1,2,1,0,0,2,0,0.7,0.7,0.9,1.6,12,19,23,0.18,0.18,0.36,0.18,0.36,0.13,0.17,0.30,0.13,0.30
47,Samson Baidoo,AUT,DF,RB Salzburg,21,7,7,616,6.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,25,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
48,Leon Bailey,JAM,FW,Aston Villa,27,8,6,526,5.8,1,1,2,1,0,0,1,0,0.7,0.7,2.0,2.7,22,13,39,0.17,0.17,0.34,0.17,0.34,0.13,0.34,0.46,0.13,0.46
49,Stefan Bajcetic,ESP,MF,RB Salzburg,20,6,1,205,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,11,4,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06
50,Esmir Bajraktarevic,BIH,FW,PSV Eindhoven,20,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Kenan Bajrić,SVN,"DF,MF",Slovan Bratislava,30,8,8,713,7.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,17,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Johan Bakayoko,BEL,"FW,MF",PSV Eindhoven,22,12,9,858,9.5,2,1,3,2,0,0,1,0,1.8,1.8,1.7,3.5,60,24,123,0.21,0.10,0.31,0.21,0.31,0.20,0.18,0.38,0.20,0.38
53,Mitchel Bakker,NED,"FW,DF",Lille,24,8,5,420,4.7,1,1,2,1,0,0,1,0,0.5,0.5,0.5,1.0,9,25,26,0.21,0.21,0.43,0.21,0.43,0.11,0.10,0.21,0.11,0.21
54,Alejandro Balde,ESP,DF,Barcelona,21,10,9,803,8.9,0,2,2,0,0,0,1,0,0.2,0.2,0.5,0.7,28,24,63,0.00,0.22,0.22,0.00,0.22,0.02,0.06,0.08,0.02,0.08
55,David von Ballmoos,SUI,GK,Young Boys,30,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,Folarin Balogun,USA,FW,Monaco,23,3,0,94,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,3,9,0.00,0.00,0.00,0.00,0.00,0.19,0.09,0.29,0.19,0.29
