Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
239,Melvin Bard,FRA,"DF,MF",Nice,Ligue 1,24.0,2000,24,22,1938,21.5,2,1,3,2,0,0,4,2,2.2,2.2,1.9,4.1,53,88,95,0.09,0.05,0.14,0.09,0.14,0.10,0.09,0.19,0.10,0.19,Matches
240,Nicolò Barella,ITA,MF,Inter,Serie A,28.0,1997,33,29,2493,27.7,3,6,9,3,0,0,4,0,2.2,2.2,4.5,6.7,63,235,132,0.11,0.22,0.32,0.11,0.32,0.08,0.16,0.24,0.08,0.24,Matches
241,Gabriel Bares,SUI,"MF,DF",Montpellier,Ligue 1,24.0,2000,6,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
242,Borna Barišić,CRO,DF,Leganés,La Liga,32.0,1992,1,1,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
243,Téo Barisic,FRA,DF,Lyon,Ligue 1,20.0,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
244,Kike Barja,ESP,"FW,MF",Osasuna,La Liga,28.0,1997,15,3,315,3.5,0,1,1,0,0,0,3,0,0.2,0.2,1.2,1.4,22,4,39,0.00,0.29,0.29,0.00,0.29,0.05,0.34,0.39,0.05,0.39,Matches
245,Ross Barkley,ENG,MF,Aston Villa,Premier League,31.0,1993,19,3,574,6.4,3,1,4,3,0,0,3,0,1.7,1.7,0.6,2.3,15,33,10,0.47,0.16,0.63,0.47,0.63,0.27,0.10,0.36,0.27,0.36,Matches
246,Aymen Barkok,MAR,MF,Mainz 05,Bundesliga,27.0,1998,4,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,5,6,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches
247,Harvey Barnes,ENG,FW,Newcastle Utd,Premier League,27.0,1997,32,16,1668,18.5,9,4,13,9,0,0,0,0,7.1,7.1,4.0,11.1,90,82,186,0.49,0.22,0.70,0.49,0.70,0.38,0.21,0.60,0.38,0.60,Matches
248,Enzo Barrenechea,ARG,MF,Valencia,La Liga,24.0,2001,30,26,2191,24.3,1,2,3,1,0,0,6,0,1.3,1.3,0.9,2.3,21,127,16,0.04,0.08,0.12,0.04,0.12,0.05,0.04,0.09,0.05,0.09,Matches
249,Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,La Liga,23.0,2001,29,14,1243,13.8,1,3,4,1,0,0,6,0,1.6,1.6,1.9,3.6,43,48,151,0.07,0.22,0.29,0.07,0.29,0.12,0.14,0.26,0.12,0.26,Matches
250,Pablo Barrios,ESP,MF,Atlético Madrid,La Liga,21.0,2003,30,28,2317,25.7,1,4,5,1,0,0,4,1,1.3,1.3,2.4,3.7,29,142,69,0.04,0.16,0.19,0.04,0.19,0.05,0.09,0.14,0.05,0.14,Matches
251,Thierno Barry,FRA,FW,Villarreal,La Liga,22.0,2002,34,24,2233,24.8,11,3,14,10,1,1,4,0,12.2,11.5,2.7,14.2,42,27,118,0.44,0.12,0.56,0.40,0.52,0.49,0.11,0.60,0.46,0.57,Matches
252,Davide Bartesaghi,ITA,"DF,MF",Milan,Serie A,19.0,2005,3,0,58,0.6,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,2,0,11,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Matches
253,Marc Bartra,ESP,DF,Betis,La Liga,34.0,1991,25,23,2099,23.3,2,1,3,2,0,0,2,0,1.2,1.2,0.2,1.4,7,68,1,0.09,0.04,0.13,0.09,0.13,0.05,0.01,0.06,0.05,0.06,Matches
254,Federico Baschirotto,ITA,DF,Lecce,Serie A,28.0,1996,37,37,3330,37.0,2,0,2,2,0,0,3,0,1.2,1.2,0.2,1.3,13,71,5,0.05,0.00,0.05,0.05,0.05,0.03,0.00,0.04,0.03,0.04,Matches
255,Daniele Baselli,ITA,MF,Como,Serie A,33.0,1992,2,1,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
256,Calvin Bassey,NGA,DF,Fulham,Premier League,25.0,1999,35,34,3074,34.2,1,0,1,1,0,0,7,0,1.0,1.0,0.1,1.2,39,116,15,0.03,0.00,0.03,0.03,0.03,0.03,0.00,0.03,0.03,0.03,Matches
257,Aboubacar Bassinga,CIV,MF,Las Palmas,La Liga,19.0,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
258,Alessandro Bastoni,ITA,DF,Inter,Serie A,26.0,1999,33,31,2401,26.7,1,5,6,1,0,0,6,1,0.8,0.8,2.3,3.2,62,162,83,0.04,0.19,0.22,0.04,0.22,0.03,0.09,0.12,0.03,0.12,Matches
259,Augusto Batalla,ARG,GK,Rayo Vallecano,La Liga,29.0,1996,31,31,2790,31.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
260,Michy Batshuayi,BEL,FW,Eint Frankfurt,Bundesliga,31.0,1993,10,3,300,3.3,3,0,3,3,0,0,2,0,1.2,1.2,0.0,1.3,3,8,15,0.90,0.00,0.90,0.90,0.90,0.36,0.01,0.38,0.36,0.38,Matches
261,Dylan Batubinsika,COD,DF,Saint-Étienne,Ligue 1,29.0,1996,25,22,2016,22.4,1,0,1,1,0,0,3,1,0.8,0.8,0.2,1.0,11,51,1,0.04,0.00,0.04,0.04,0.04,0.04,0.01,0.04,0.04,0.04,Matches
262,Maximilian Bauer,GER,DF,Augsburg,Bundesliga,25.0,2000,11,8,658,7.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,30,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Matches
263,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,34.0,1990,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,1.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
264,Christoph Baumgartner,AUT,MF,RB Leipzig,Bundesliga,25.0,1999,31,18,1610,17.9,2,1,3,2,0,0,5,0,4.5,4.5,1.3,5.8,37,53,95,0.11,0.06,0.17,0.11,0.17,0.25,0.07,0.33,0.25,0.33,Matches
265,Rafael Bauza,ESP,MF,Espanyol,La Liga,20.0,2005,5,2,183,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
266,Altay Bayındır,TUR,GK,Manchester Utd,Premier League,27.0,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
267,Ihlas Bebou,TOG,MF,Hoffenheim,Bundesliga,31.0,1994,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
268,Adrian Beck,GER,"MF,FW",Heidenheim,Bundesliga,27.0,1997,32,18,1598,17.8,4,1,5,4,0,0,1,0,3.3,3.3,1.2,4.5,37,69,83,0.23,0.06,0.28,0.23,0.28,0.18,0.07,0.25,0.18,0.25,Matches
