Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
830,Harvey Elliott,ENG,"MF,FW",Liverpool,Premier League,22.0,2003,17,2,365,4.1,1,2,3,1,0,0,1,0,1.8,1.8,1.1,2.8,10,44,30,0.25,0.49,0.74,0.25,0.74,0.43,0.27,0.70,0.43,0.70,Matches
831,Elif Elmas,MKD,"FW,MF",Torino,Serie A,25.0,1999,12,11,941,10.5,4,0,4,4,0,0,0,0,1.3,1.3,0.4,1.8,35,29,51,0.38,0.00,0.38,0.38,0.38,0.13,0.04,0.17,0.13,0.17,Matches
832,Elif Elmas,MKD,MF,RB Leipzig,Bundesliga,25.0,1999,2,0,44,0.5,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,2,2,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.70,0.70,0.70,Matches
833,Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,31.0,1994,22,16,1457,16.2,0,0,0,0,0,0,2,1,0.4,0.4,0.2,0.6,17,51,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
834,Nico Elvedi,SUI,DF,Gladbach,Bundesliga,28.0,1996,25,25,2135,23.7,1,1,2,1,0,0,1,0,2.0,2.0,0.4,2.5,20,55,5,0.04,0.04,0.08,0.04,0.08,0.09,0.02,0.10,0.09,0.10,Matches
835,Adri Embarba,ESP,"FW,MF",Rayo Vallecano,La Liga,33.0,1992,34,18,1605,17.8,1,1,2,1,0,0,4,0,2.1,2.1,2.7,4.8,46,45,111,0.06,0.06,0.11,0.06,0.11,0.12,0.15,0.27,0.12,0.27,Matches
836,Breel Embolo,SUI,"FW,MF",Monaco,Ligue 1,28.0,1997,29,19,1841,20.5,6,4,10,6,0,0,5,0,10.8,10.8,5.6,16.4,22,55,140,0.29,0.20,0.49,0.29,0.49,0.53,0.28,0.80,0.53,0.80,Matches
837,Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,22.0,2003,27,27,2293,25.5,14,3,17,14,0,0,5,0,17.0,17.0,2.4,19.4,37,14,104,0.55,0.12,0.67,0.55,0.67,0.67,0.10,0.76,0.67,0.76,Matches
838,Emerson,BRA,DF,Milan,Serie A,26.0,1999,17,16,1377,15.3,0,0,0,0,0,0,5,0,0.4,0.4,0.7,1.1,23,68,71,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Matches
839,Yunus Emre Konak,TUR,"FW,MF",Brentford,Premier League,19.0,2006,10,0,42,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,2,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,Matches
840,Julio Enciso,PAR,"MF,FW",Ipswich Town,Premier League,21.0,2004,13,12,869,9.7,2,3,5,2,0,0,3,0,1.7,1.7,1.4,3.1,23,28,44,0.21,0.31,0.52,0.21,0.52,0.18,0.14,0.32,0.18,0.32,Matches
841,Julio Enciso,PAR,"MF,FW",Brighton,Premier League,21.0,2004,12,2,294,3.3,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,11,14,17,0.00,0.00,0.00,0.00,0.00,0.31,0.07,0.38,0.31,0.38,Matches
842,Wataru Endo,JPN,"MF,DF",Liverpool,Premier League,32.0,1993,19,1,251,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,15,7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
843,Endrick,BRA,FW,Real Madrid,La Liga,18.0,2006,22,3,363,4.0,1,0,1,1,0,0,1,0,2.5,2.5,0.5,3.0,12,8,32,0.25,0.00,0.25,0.25,0.25,0.61,0.12,0.73,0.61,0.73,Matches
844,Yannik Engelhardt,GER,"MF,DF",Como,Serie A,24.0,2001,26,11,1164,12.9,1,1,2,1,0,0,4,0,0.6,0.6,1.5,2.0,18,54,18,0.08,0.08,0.15,0.08,0.15,0.04,0.11,0.16,0.04,0.16,Matches
845,Arne Engels,BEL,"MF,FW",Augsburg,Bundesliga,21.0,2003,1,1,79,0.9,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,1,5,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45,Matches
846,Christian Eriksen,DEN,MF,Manchester Utd,Premier League,33.0,1992,22,11,1036,11.5,0,2,2,0,0,0,4,0,0.4,0.4,3.1,3.6,12,55,29,0.00,0.17,0.17,0.00,0.17,0.04,0.27,0.31,0.04,0.31,Matches
847,Martin Erlic,CRO,DF,Bologna,Serie A,27.0,1998,8,5,334,3.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,11,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
848,Patrick Erras,GER,DF,Holstein Kiel,Bundesliga,30.0,1995,10,10,832,9.2,1,0,1,1,0,0,2,0,0.9,0.9,0.1,1.0,3,25,1,0.11,0.00,0.11,0.11,0.11,0.10,0.01,0.11,0.10,0.11,Matches
849,Alfonso Espino,URU,DF,Rayo Vallecano,La Liga,33.0,1992,16,9,833,9.3,0,1,1,0,0,0,4,0,0.4,0.4,0.6,1.1,10,39,29,0.00,0.11,0.11,0.00,0.11,0.05,0.07,0.12,0.05,0.12,Matches
850,Sebastiano Esposito,ITA,"FW,MF",Empoli,Serie A,22.0,2002,32,26,2250,25.0,8,0,8,7,1,2,1,0,5.6,4.0,2.1,6.2,31,90,102,0.32,0.00,0.32,0.28,0.28,0.22,0.09,0.31,0.16,0.25,Matches
851,Romain Esse,ENG,MF,Crystal Palace,Premier League,20.0,2005,6,1,127,1.4,1,1,2,1,0,0,0,0,0.3,0.3,0.4,0.7,1,7,11,0.71,0.71,1.42,0.71,1.42,0.23,0.29,0.52,0.23,0.52,Matches
852,Samuel Essende,COD,FW,Augsburg,Bundesliga,27.0,1998,30,21,1636,18.2,7,2,9,7,0,0,4,2,4.2,4.2,1.3,5.5,33,21,118,0.39,0.11,0.50,0.39,0.50,0.23,0.07,0.30,0.23,0.30,Matches
853,Dario Essugo,POR,MF,Las Palmas,La Liga,20.0,2005,26,24,1869,20.8,1,0,1,1,0,0,11,2,0.7,0.7,0.4,1.0,18,68,8,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches
854,Estanis,ESP,FW,Bologna,Serie A,21.0,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,1,0,1,0.00,0.00,0.00,0.00,0.00,0.71,1.65,2.35,0.71,2.35,Matches
855,Nahuel Estévez,ARG,MF,Parma,Serie A,29.0,1995,13,7,644,7.2,0,0,0,0,0,0,3,0,0.1,0.1,0.8,0.8,3,29,4,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12,Matches
856,Pervis Estupiñán,ECU,DF,Brighton,Premier League,27.0,1998,30,26,2402,26.7,1,1,2,1,0,0,5,0,1.2,1.2,2.1,3.3,59,132,112,0.04,0.04,0.07,0.04,0.07,0.04,0.08,0.12,0.04,0.12,Matches
857,Etienne Eto'o,CMR,FW,Rayo Vallecano,La Liga,22.0,2002,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
858,Karl Etta,CMR,"FW,MF",Villarreal,La Liga,21.0,2003,3,0,21,0.2,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,0,0,4.29,0.00,4.29,4.29,4.29,1.45,0.00,1.45,1.45,1.45,Matches
859,Evanilson,BRA,FW,Bournemouth,Premier League,25.0,1999,30,27,2230,24.8,10,1,11,10,0,1,1,1,12.2,11.4,1.8,13.2,28,27,95,0.40,0.04,0.44,0.40,0.44,0.49,0.07,0.57,0.46,0.53,Matches
860,Jake Evans,nan,FW,Leicester City,Premier League,,,3,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
861,Jonny Evans,NIR,DF,Manchester Utd,Premier League,37.0,1988,6,3,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
862,Edu Expósito,ESP,MF,Espanyol,La Liga,28.0,1996,18,11,986,11.0,0,2,2,0,0,0,2,0,1.0,1.0,3.2,4.2,23,63,40,0.00,0.18,0.18,0.00,0.18,0.09,0.29,0.38,0.09,0.38,Matches
863,Eberechi Eze,ENG,"MF,FW",Crystal Palace,Premier League,26.0,1998,33,30,2527,28.1,8,8,16,7,1,2,1,0,10.4,8.9,5.5,14.4,68,96,152,0.28,0.28,0.57,0.25,0.53,0.37,0.20,0.57,0.32,0.51,Matches
864,Abde Ezzalzouli,MAR,"FW,MF",Betis,La Liga,23.0,2001,32,23,1984,22.0,2,2,4,2,0,1,2,0,8.1,7.3,2.0,9.3,117,68,215,0.09,0.09,0.18,0.09,0.18,0.37,0.09,0.46,0.33,0.42,Matches
865,Giovanni Fabbian,ITA,MF,Bologna,Serie A,22.0,2003,29,9,1013,11.3,3,1,4,3,0,0,2,0,2.3,2.3,1.2,3.6,14,16,41,0.27,0.09,0.36,0.27,0.36,0.21,0.11,0.32,0.21,0.32,Matches
866,Łukasz Fabiański,POL,GK,West Ham,Premier League,40.0,1985,13,12,1070,11.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
867,Alieu Fadera,GAM,"FW,DF",Como,Serie A,23.0,2001,28,20,1644,18.3,1,3,4,1,0,0,2,1,1.7,1.7,4.0,5.7,74,36,160,0.05,0.16,0.22,0.05,0.22,0.09,0.22,0.31,0.09,0.31,Matches
868,Wout Faes,BEL,DF,Leicester City,Premier League,27.0,1998,33,29,2725,30.3,1,0,1,1,0,0,4,0,1.5,1.5,0.1,1.6,12,85,1,0.03,0.00,0.03,0.03,0.03,0.05,0.00,0.05,0.05,0.05,Matches
869,Nicolò Fagioli,ITA,MF,Fiorentina,Serie A,24.0,2001,14,9,872,9.7,0,2,2,0,0,0,0,0,0.3,0.3,2.0,2.3,13,36,16,0.00,0.21,0.21,0.00,0.21,0.03,0.21,0.24,0.03,0.24,Matches
870,Nicolò Fagioli,ITA,MF,Juventus,Serie A,24.0,2001,17,5,571,6.3,0,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7,19,41,18,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11,Matches
871,Romain Faivre,FRA,"MF,FW",Brest,Ligue 1,26.0,1998,20,10,899,10.0,3,2,5,2,1,1,2,0,2.6,1.8,1.9,3.7,24,44,49,0.30,0.20,0.50,0.20,0.40,0.26,0.19,0.45,0.18,0.37,Matches
872,Wladimiro Falcone,ITA,GK,Lecce,Serie A,30.0,1995,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
873,Davide Faraoni,ITA,DF,Hellas Verona,Serie A,33.0,1991,8,3,260,2.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,3,13,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12,Matches
874,Abdul Fatawu Issahaku,GHA,FW,Leicester City,Premier League,21.0,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches
875,Ansu Fati,ESP,FW,Barcelona,La Liga,22.0,2002,6,3,233,2.6,0,0,0,0,0,0,1,0,1.0,1.0,0.2,1.1,7,6,32,0.00,0.00,0.00,0.00,0.00,0.38,0.06,0.44,0.38,0.44,Matches
876,Khalil Fayad,FRA,"MF,FW",Montpellier,Ligue 1,20.0,2004,20,10,1028,11.4,0,0,0,0,0,0,5,0,1.3,1.3,0.3,1.5,25,50,42,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.13,0.11,0.13,Matches
877,Jacopo Fazzini,ITA,MF,Empoli,Serie A,22.0,2003,19,15,1293,14.4,3,1,4,3,0,0,1,1,2.5,2.5,0.5,3.0,31,45,80,0.21,0.07,0.28,0.21,0.28,0.17,0.04,0.21,0.17,0.21,Matches
878,Nabil Fekir,FRA,MF,Betis,La Liga,31.0,1993,2,2,180,2.0,0,1,1,0,0,0,0,0,0.7,0.7,0.5,1.2,9,10,18,0.00,0.50,0.50,0.00,0.50,0.34,0.26,0.61,0.34,0.61,Matches
879,Mattia Felici,ITA,"MF,FW",Cagliari,Serie A,24.0,2001,20,9,925,10.3,0,3,3,0,0,0,1,0,0.6,0.6,1.0,1.6,39,19,75,0.00,0.29,0.29,0.00,0.29,0.06,0.10,0.16,0.06,0.16,Matches
880,Luiz Felipe,ITA,DF,Marseille,Ligue 1,28.0,1997,4,2,122,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
881,João Félix,POR,"FW,MF",Chelsea,Premier League,25.0,1999,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,21,26,30,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches
882,João Félix,POR,MF,Milan,Serie A,25.0,1999,14,7,681,7.6,1,0,1,1,0,0,3,0,2.3,2.3,0.9,3.2,16,36,47,0.13,0.00,0.13,0.13,0.13,0.31,0.12,0.43,0.31,0.43,Matches
883,Frank Feller,GER,GK,Heidenheim,Bundesliga,21.0,2004,2,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
884,Kiko Femenía,ESP,DF,Villarreal,La Liga,34.0,1991,28,27,2227,24.7,0,1,1,0,0,0,7,0,0.4,0.4,1.3,1.7,52,112,44,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.07,0.01,0.07,Matches
885,Evan Ferguson,IRL,FW,West Ham,Premier League,20.0,2004,8,1,156,1.7,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,1,1,7,0.00,0.00,0.00,0.00,0.00,0.32,0.17,0.50,0.32,0.50,Matches
886,Evan Ferguson,IRL,FW,Brighton,Premier League,20.0,2004,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1.0,2,1,9,0.37,0.00,0.37,0.37,0.37,0.20,0.15,0.35,0.20,0.35,Matches
887,Lewis Ferguson,SCO,MF,Bologna,Serie A,25.0,1999,15,9,893,9.9,1,1,2,0,1,1,0,0,0.9,0.1,1.0,1.1,18,47,19,0.10,0.10,0.20,0.00,0.10,0.09,0.10,0.19,0.01,0.11,Matches
888,Zinedine Ferhat,ALG,"FW,MF",Angers,Ligue 1,32.0,1993,24,8,849,9.4,2,0,2,2,0,0,1,0,1.4,1.4,2.4,3.7,16,40,64,0.21,0.00,0.21,0.21,0.21,0.14,0.25,0.40,0.14,0.40,Matches
889,Bruno Fernandes,POR,MF,Manchester Utd,Premier League,30.0,1994,35,34,2928,32.5,8,9,17,5,3,3,5,2,9.6,7.3,8.1,15.4,68,302,122,0.25,0.28,0.52,0.15,0.43,0.30,0.25,0.55,0.22,0.47,Matches
890,Edimilson Fernandes,SUI,"MF,DF",Brest,Ligue 1,29.0,1996,19,12,1105,12.3,0,1,1,0,0,0,1,0,0.4,0.4,0.6,1.0,7,40,3,0.00,0.08,0.08,0.00,0.08,0.03,0.05,0.08,0.03,0.08,Matches
891,Mateus Fernandes,POR,MF,Southampton,Premier League,20.0,2004,35,33,2819,31.3,2,3,5,2,0,0,8,0,3.9,3.9,2.6,6.5,76,140,108,0.06,0.10,0.16,0.06,0.16,0.12,0.08,0.21,0.12,0.21,Matches
892,Aitor Fernández,ESP,GK,Osasuna,La Liga,34.0,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
893,Álvaro Fernández,ESP,GK,Sevilla,La Liga,27.0,1998,8,7,657,7.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
894,Enzo Fernández,ARG,MF,Chelsea,Premier League,24.0,2001,35,31,2857,31.7,6,7,13,6,0,0,8,0,6.1,6.1,6.7,12.8,59,211,124,0.19,0.22,0.41,0.19,0.41,0.19,0.21,0.40,0.19,0.40,Matches
895,Pelayo Fernandez,ESP,DF,Rayo Vallecano,La Liga,22.0,2003,2,1,98,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
896,Roberto Férnandez,ESP,FW,Espanyol,La Liga,22.0,2002,18,17,1419,15.8,6,0,6,6,0,0,1,0,3.4,3.4,0.6,4.0,7,16,45,0.38,0.00,0.38,0.38,0.38,0.22,0.04,0.25,0.22,0.25,Matches
897,Valery Fernández,ESP,"MF,FW",Mallorca,La Liga,25.0,1999,18,1,309,3.4,2,0,2,2,0,0,1,0,0.8,0.8,0.0,0.9,2,5,14,0.58,0.00,0.58,0.58,0.58,0.24,0.01,0.25,0.24,0.25,Matches
898,Matias Fernandez-Pardo,BEL,"FW,MF",Lille,Ligue 1,20.0,2005,22,12,1065,11.8,4,2,6,4,0,0,4,0,2.9,2.9,2.8,5.7,46,26,85,0.34,0.17,0.51,0.34,0.51,0.24,0.24,0.48,0.24,0.48,Matches
899,André Ferreira,POR,GK,Valladolid,La Liga,28.0,1996,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
900,Jordan Ferri,FRA,MF,Montpellier,Ligue 1,33.0,1992,25,21,1773,19.7,0,2,2,0,0,0,6,1,0.4,0.4,0.9,1.3,19,137,42,0.00,0.10,0.10,0.00,0.10,0.02,0.05,0.07,0.02,0.07,Matches
901,Daniel Fila,CZE,FW,Venezia,Serie A,22.0,2002,9,5,425,4.7,1,0,1,1,0,0,3,1,1.1,1.1,0.3,1.5,5,8,25,0.21,0.00,0.21,0.21,0.21,0.24,0.07,0.31,0.24,0.31,Matches
902,Karol Fila,POL,MF,Strasbourg,Ligue 1,26.0,1998,1,0,5,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
903,Kilian Fischer,GER,DF,Wolfsburg,Bundesliga,24.0,2000,32,29,2297,25.5,1,0,1,1,0,0,7,0,0.3,0.3,0.5,0.8,51,110,89,0.04,0.00,0.04,0.04,0.04,0.01,0.02,0.03,0.01,0.03,Matches
904,Mark Flekken,NED,GK,Brentford,Premier League,31.0,1993,36,36,3185,35.4,0,2,2,0,0,0,1,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.06,0.06,0.00,0.06,0.00,0.02,0.02,0.00,0.02,Matches
905,Mateo Flores,ESP,MF,Betis,La Liga,21.0,2004,6,1,153,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,9,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
906,Phil Foden,ENG,"MF,FW",Manchester City,Premier League,24.0,2000,27,20,1768,19.6,7,2,9,7,0,0,2,0,5.2,5.2,4.8,9.9,50,103,128,0.36,0.10,0.46,0.36,0.46,0.26,0.24,0.51,0.26,0.51,Matches
907,Malick Fofana,BEL,FW,Lyon,Ligue 1,20.0,2005,29,16,1589,17.7,5,4,9,5,0,0,2,0,3.8,3.8,3.7,7.6,112,45,205,0.28,0.23,0.51,0.28,0.51,0.22,0.21,0.43,0.22,0.43,Matches
908,Rayan Fofana,FRA,"FW,MF",Lens,Ligue 1,19.0,2006,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
909,Seko Fofana,CIV,MF,Rennes,Ligue 1,30.0,1995,16,9,844,9.4,1,1,2,1,0,0,3,0,1.8,1.8,1.2,2.9,32,72,38,0.11,0.11,0.21,0.11,0.21,0.19,0.13,0.31,0.19,0.31,Matches
910,Wesley Fofana,FRA,DF,Chelsea,Premier League,24.0,2000,14,14,1172,13.0,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,19,32,4,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.06,Matches
911,Yahia Fofana,CIV,GK,Angers,Ligue 1,24.0,2000,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
912,Youssouf Fofana,FRA,MF,Milan,Serie A,26.0,1999,34,29,2493,27.7,1,6,7,1,0,0,5,0,1.3,1.3,3.4,4.7,44,176,32,0.04,0.22,0.25,0.04,0.25,0.05,0.12,0.17,0.05,0.17,Matches
913,Jonas Föhrenbach,GER,DF,Heidenheim,Bundesliga,29.0,1996,27,22,1832,20.4,0,1,1,0,0,0,3,0,0.3,0.3,1.3,1.6,36,59,50,0.00,0.05,0.05,0.00,0.05,0.01,0.06,0.08,0.01,0.08,Matches
914,Michael Folorunsho,ITA,"FW,MF",Fiorentina,Serie A,27.0,1998,14,6,650,7.2,0,0,0,0,0,0,5,0,1.1,1.1,0.6,1.7,13,21,33,0.00,0.00,0.00,0.00,0.00,0.15,0.08,0.23,0.15,0.23,Matches
915,Michael Folorunsho,ITA,"FW,MF",Napoli,Serie A,27.0,1998,6,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27,Matches
916,Lamine Fomba,FRA,MF,Saint-Étienne,Ligue 1,27.0,1998,7,3,217,2.4,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,5,18,5,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.13,0.01,0.13,Matches
917,Carlos Forbs,POR,"MF,FW",Wolves,Premier League,21.0,2004,10,1,239,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,10,8,28,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Matches
918,Pablo Fornals,ESP,"MF,FW",Betis,La Liga,29.0,1996,26,22,1827,20.3,2,0,2,2,0,0,2,0,1.8,1.8,3.3,5.1,32,146,85,0.10,0.00,0.10,0.10,0.10,0.09,0.16,0.25,0.09,0.25,Matches
919,Omari Forson,ENG,"MF,FW",Monza,Serie A,20.0,2004,9,1,223,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,14,10,18,0.00,0.00,0.00,0.00,0.00,0.09,0.21,0.30,0.09,0.30,Matches
920,Fraser Forster,ENG,GK,Tottenham,Premier League,37.0,1988,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
921,Héctor Fort,ESP,DF,Barcelona,La Liga,18.0,2006,17,5,585,6.5,0,0,0,0,0,0,2,0,0.2,0.2,0.9,1.1,14,26,33,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.17,0.04,0.17,Matches
922,Dimitri Foulquier,FRA,DF,Valencia,La Liga,32.0,1993,32,25,2299,25.5,0,1,1,0,0,0,6,0,0.4,0.4,1.4,1.8,48,97,66,0.00,0.04,0.04,0.00,0.04,0.02,0.05,0.07,0.02,0.07,Matches
923,Juan Foyth,ARG,DF,Villarreal,La Liga,27.0,1998,19,17,1517,16.9,1,0,1,1,0,0,4,0,2.4,2.4,0.3,2.8,13,65,11,0.06,0.00,0.06,0.06,0.06,0.14,0.02,0.16,0.14,0.16,Matches
924,Fran,ESP,GK,Real Madrid,La Liga,19.0,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
925,Matheus França,BRA,"MF,FW",Crystal Palace,Premier League,21.0,2004,3,0,54,0.6,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,4,2,4,1.67,0.00,1.67,1.67,1.67,0.28,0.00,0.28,0.28,0.28,Matches
926,Alejandro Francés,ESP,DF,Girona,La Liga,22.0,2002,17,12,1110,12.3,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.6,17,59,20,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
927,Przemysław Frankowski,POL,DF,Lens,Ligue 1,30.0,1995,18,16,1387,15.4,4,2,6,2,2,2,3,0,2.3,0.7,2.5,3.2,33,117,95,0.26,0.13,0.39,0.13,0.26,0.15,0.16,0.31,0.05,0.21,Matches
928,Enric Franquesa,ESP,"DF,FW",Leganés,La Liga,28.0,1997,12,7,616,6.8,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,11,12,30,0.15,0.00,0.15,0.15,0.15,0.04,0.02,0.06,0.04,0.06,Matches
929,Ryan Fraser,SCO,"FW,DF",Southampton,Premier League,31.0,1994,8,4,306,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
930,Davide Frattesi,ITA,MF,Inter,Serie A,25.0,1999,28,9,1225,13.6,5,1,6,5,0,0,1,0,4.0,4.0,0.8,4.8,23,31,50,0.37,0.07,0.44,0.37,0.44,0.29,0.06,0.35,0.29,0.35,Matches
931,Tyler Fredricson,ENG,DF,Manchester Utd,Premier League,20.0,2005,2,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
932,Morten Frendrup,DEN,MF,Genoa,Serie A,24.0,2001,35,35,3103,34.5,2,0,2,2,0,0,5,0,1.6,1.6,0.9,2.5,24,106,29,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.07,0.05,0.07,Matches
933,Martin Frese,DEN,DF,Hellas Verona,Serie A,27.0,1998,10,5,540,6.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,7,18,12,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
934,Remo Freuler,SUI,MF,Bologna,Serie A,33.0,1992,36,36,3124,34.7,1,2,3,1,0,0,6,0,1.3,1.3,1.4,2.7,39,201,55,0.03,0.06,0.09,0.03,0.09,0.04,0.04,0.08,0.04,0.08,Matches
935,Marco Friedl,AUT,DF,Werder Bremen,Bundesliga,27.0,1998,26,25,2161,24.0,0,0,0,0,0,0,10,2,0.5,0.5,0.2,0.7,4,69,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
