Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
156,Levi Colwill,ENG,DF,Chelsea,22,2,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,Pietro Comuzzo,ITA,DF,Fiorentina,20,9,8,721,8.0,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.6,1,9,0,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08
158,Josip Condric,CRO,GK,Astana FK,31,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,Sirlord Conteh,GER,"MF,FW",Heidenheim,28,6,5,382,4.2,1,1,2,1,0,0,0,0,0.5,0.5,0.9,1.5,12,13,28,0.24,0.24,0.47,0.24,0.47,0.12,0.22,0.35,0.12,0.35
160,Marius Corbu,ROU,"FW,MF",APOEL,23,3,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,6,0.00,0.00,0.00,0.00,0.00,0.08,0.20,0.28,0.08,0.28
161,Andreas Cornelius,DEN,"FW,MF",FC Copenhagen,32,6,1,174,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,1,2,8,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.25,0.12,0.25
162,Daniel Correia,SUI,"FW,MF",Lugano,22,7,2,154,1.7,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,6,8,11,1.17,0.00,1.17,1.17,1.17,0.26,0.04,0.30,0.26,0.30
163,João Pedro Araújo Correia,CPV,"FW,MF",Pafos FC,28,9,7,583,6.5,3,0,3,3,0,0,3,0,1.5,1.5,1.1,2.6,22,20,60,0.46,0.00,0.46,0.46,0.46,0.23,0.17,0.39,0.23,0.39
164,Rui Filipe Cunha Correia,POR,MF,Jagiellonia,29,5,2,237,2.6,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,3,7,5,0.00,0.00,0.00,0.00,0.00,0.13,0.16,0.28,0.13,0.28
165,Tomas Cosgrove,NIR,DF,Larne FC,32,5,4,391,4.3,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,5,13,5,0.23,0.00,0.23,0.23,0.23,0.08,0.02,0.10,0.08,0.10
166,Alberto costa,POR,DF,Vitória,21,4,4,360,4.0,1,0,1,1,0,0,2,0,0.4,0.4,0.5,0.9,11,16,21,0.25,0.00,0.25,0.25,0.25,0.10,0.13,0.23,0.10,0.23
167,Tomás Costa Silva,POR,"DF,MF",Jagiellonia,25,9,1,211,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,9,11,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
168,Senou Coulibaly,MLI,DF,AC Omonia,30,7,7,630,7.0,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,10,37,2,0.14,0.00,0.14,0.14,0.14,0.03,0.00,0.03,0.03,0.03
169,Crespo,POR,MF,Başakşehir,28,6,4,307,3.4,1,1,2,1,0,0,0,0,0.6,0.6,0.6,1.2,2,18,7,0.29,0.29,0.59,0.29,0.59,0.17,0.17,0.34,0.17,0.34
170,Kevin Csoboth,HUN,"MF,FW",St. Gallen,24,6,4,353,3.9,2,0,2,2,0,0,0,0,1.0,1.0,0.7,1.7,3,12,28,0.51,0.00,0.51,0.51,0.51,0.27,0.17,0.43,0.27,0.43
