Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
27,Barış Alper Yılmaz,TUR,"FW,DF",Galatasaray,24,9,9,778,8.6,1,1,2,1,0,0,1,0,2.3,2.3,2.4,4.7,44,21,122,0.12,0.12,0.23,0.12,0.23,0.26,0.28,0.55,0.26,0.55
28,Laurenzo Alvarenga,FRA,MF,Nice,20,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Yeray Álvarez,ESP,DF,Athletic Club,29,7,7,579,6.4,1,0,1,1,0,0,4,1,0.6,0.6,0.0,0.7,8,26,0,0.16,0.00,0.16,0.16,0.16,0.09,0.01,0.10,0.09,0.10
30,Harry Amass,ENG,DF,Manchester Utd,17,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,Jaydon Amauri Banel,NED,FW,Ajax,19,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16
32,Aurele Amenda,SUI,DF,Eint Frankfurt,21,4,1,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,Sofyan Amrabat,MAR,"MF,DF",Fenerbahçe,27,10,10,930,10.3,0,1,1,0,0,0,4,0,0.1,0.1,0.8,0.9,2,57,10,0.00,0.10,0.10,0.00,0.10,0.01,0.08,0.09,0.01,0.09
34,Francis Amuzu,BEL,"FW,MF",Anderlecht,24,6,3,254,2.8,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,18,3,28,0.35,0.00,0.35,0.35,0.35,0.03,0.04,0.08,0.03,0.08
35,Joel Andersson,SWE,"DF,MF",Midtjylland,27,10,10,839,9.3,0,1,1,0,0,0,0,0,0.9,0.9,1.1,2.0,12,54,21,0.00,0.11,0.11,0.00,0.11,0.10,0.12,0.22,0.10,0.22
36,Leandro Andrade,CPV,"FW,MF",Qarabağ,24,8,4,401,4.5,1,0,1,1,0,0,0,0,0.7,0.7,0.2,1.0,21,19,41,0.22,0.00,0.22,0.22,0.22,0.17,0.06,0.22,0.17,0.22
